date,rank,title,author,description
2021-12-12,1,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,"The ninth book in the Outlander series. As the Revolutionary War moves closer to Fraser’s Ridge, Claire and Jamie reunite with their daughter and her family."
2021-12-12,2,THE BECOMING,Nora Roberts,The second book in the Dragon Heart Legacy series. Breen returns to Talamh as her grandfather Odran plots destruction.
2021-12-12,3,FEAR NO EVIL,James Patterson,The 29th book in the Alex Cross series. Cross fights the mastermind who has stalked him for years.
2021-12-12,4,THE JUDGE'S LIST,John Grisham,The second book in the Whistler series. Investigator Lacy Stoltz goes after a serial killer and closes in on a sitting judge.
2021-12-12,5,THE WISH,Nicholas Sparks,"Maggie Dawes, a renowned travel photographer, struggles with a medical diagnosis over Christmas."
2021-12-12,6,FLYING ANGELS,Danielle Steel,Six women join the Medical Air Evacuation Transport Squadron during World War II.
2021-12-12,7,IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2021-12-12,8,THE STRANGER IN THE LIFEBOAT,Mitch Albom,"After a ship explodes, 10 people struggling to survive pull a man who claims to be the Lord out of the sea."
2021-12-12,9,MERCY,David Baldacci,The fourth book in the Atlee Pine series. Atlee discovers her twin sister survived an abduction at the age of 6.
2021-12-12,10,THE LINCOLN HIGHWAY,Amor Towles,Two friends who escaped from a juvenile work farm take Emmett Watson on an unexpected journey to New York City in 1954.
2021-12-12,11,THE DARK HOURS,Michael Connelly,"A death on New Year’s Eve, an unsolved murder and a hunt for serial rapists bring Bosch and Ballard back together."
2021-12-12,12,THE CHRISTMAS PROMISE,Richard Paul Evans,"Richelle writes a book about her estranged and deceased twin sister, Michelle, that is titled “The Prodigal Daughter.”"
2021-12-12,13,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2021-12-12,14,STATE OF TERROR,Hillary Rodham Clinton and Louise Penny,"In the wake of the previous administration’s mishandling of international affairs, the new Secretary of State Ellen Adams confronts interconnected global threats."
2021-12-12,15,PROJECT HAIL MARY,Andy Weir,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders."
2021-12-12,1,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,"The ninth book in the Outlander series. As the Revolutionary War moves closer to Fraser’s Ridge, Claire and Jamie reunite with their daughter and her family."
2021-12-12,2,THE BECOMING,Nora Roberts,The second book in the Dragon Heart Legacy series. Breen returns to Talamh as her grandfather Odran plots destruction.
2021-12-12,3,FEAR NO EVIL,James Patterson,The 29th book in the Alex Cross series. Cross fights the mastermind who has stalked him for years.
2021-12-12,4,THE JUDGE'S LIST,John Grisham,The second book in the Whistler series. Investigator Lacy Stoltz goes after a serial killer and closes in on a sitting judge.
2021-12-12,5,THE WISH,Nicholas Sparks,"Maggie Dawes, a renowned travel photographer, struggles with a medical diagnosis over Christmas."
2021-12-12,6,FLYING ANGELS,Danielle Steel,Six women join the Medical Air Evacuation Transport Squadron during World War II.
2021-12-12,7,IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.
2021-12-12,8,THE STRANGER IN THE LIFEBOAT,Mitch Albom,"After a ship explodes, 10 people struggling to survive pull a man who claims to be the Lord out of the sea."
2021-12-12,9,MERCY,David Baldacci,The fourth book in the Atlee Pine series. Atlee discovers her twin sister survived an abduction at the age of 6.
2021-12-12,10,THE LINCOLN HIGHWAY,Amor Towles,Two friends who escaped from a juvenile work farm take Emmett Watson on an unexpected journey to New York City in 1954.
2021-12-12,11,THE DARK HOURS,Michael Connelly,"A death on New Year’s Eve, an unsolved murder and a hunt for serial rapists bring Bosch and Ballard back together."
2021-12-12,12,THE CHRISTMAS PROMISE,Richard Paul Evans,"Richelle writes a book about her estranged and deceased twin sister, Michelle, that is titled “The Prodigal Daughter.”"
2021-12-12,13,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.
2021-12-12,14,STATE OF TERROR,Hillary Rodham Clinton and Louise Penny,"In the wake of the previous administration’s mishandling of international affairs, the new Secretary of State Ellen Adams confronts interconnected global threats."
2021-12-12,15,PROJECT HAIL MARY,Andy Weir,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders."
2021-12-12,1,GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,"The ninth book in the Outlander series. As the Revolutionary War moves closer to Fraser’s Ridge, Claire and Jamie reunite with their daughter and her family."
